"","note","chord","string_1_fret","string_2_fret","string_3_fret","string_4_fret","string_5_fret","string_6_fret","string_1_finger","string_2_finger","string_3_finger","string_4_finger","string_5_finger","string_6_finger"
"1","g","Major",        3, 2,0,0,0,3,   2,1,0,0,0,4
"2","g","Major",        3, 2,0,0,3,3,   2,1,0,0,3,4
"3","c","Major",       NA, 3,2,0,1,0,   0,3,2,0,1,0
"4","c","Major 7",     NA, 3,2,0,0,0,   0,3,2,0,0,0
"5","c","Major add 9", NA, 3,2,0,3,3,   0,2,1,0,3,4
"6","d","Major",       NA,NA,0,2,3,2,   0,0,0,1,3,2
"7","d","Major 7",     NA,NA,0,2,2,2,   0,0,0,1,2,3
"8","d","Major 6",     NA,NA,0,2,0,2,   0,0,0,1,0,3
"9","d","Dominant 7",  NA,NA,0,2,1,2,   0,0,0,1,2,3
"10","d","Major sus 4",NA,NA,0,2,3,3,   0,0,0,1,3,4
"11","d","Major sus 2",NA,NA,0,2,3,0,   0,0,0,1,3,0
"12","a","Major",      NA ,0,2,2,2,0,   0,0,2,3,4,0
"13","a","Major 7",    NA ,0,2,0,2,0,   0,0,2,0,4,0
"14","e","minor",      0 , 2,2,0,0,0,   0,2,3,0,0,0
"15","e","minor add 9",0 , 2,4,0,0,0,   0,1,3,0,0,0
"16","a","minor",      NA ,0,2,2,1,0,   0,0,2,3,1,0
"17","a","minor sus 2",NA ,0,2,2,0,0,   0,0,2,3,0,0
"18","a","minor sus 4",NA ,0,2,2,3,0,   0,0,2,3,4,0
